simulation,generation,rho,L
15,11,0.01,10
15,12,0.01,10
15,13,0.0,10
16,0,1,10
16,1,0.73,10
16,2,0.55,10
16,3,0.48,10
16,4,0.29,10
16,5,0.16,10
16,6,0.14,10
16,7,0.08,10
16,8,0.09,10
16,9,0.07,10
16,10,0.06,10
16,11,0.04,10
16,12,0.02,10
16,13,0.0,10
17,0,1,10
17,1,0.67,10
17,2,0.5,10
17,3,0.32,10
17,4,0.29,10
17,5,0.23,10
17,6,0.18,10
17,7,0.12,10
17,8,0.06,10
17,9,0.07,10
17,10,0.04,10
17,11,0.0,10
18,0,1,10
18,1,0.68,10
18,2,0.48,10
18,3,0.34,10
18,4,0.29,10
18,5,0.18,10
18,6,0.11,10
18,7,0.12,10
18,8,0.07,10
18,9,0.03,10
18,10,0.02,10
18,11,0.01,10
18,12,0.03,10
18,13,0.0,10
19,0,1,10
19,1,0.67,10
19,2,0.62,10
19,3,0.46,10
19,4,0.39,10
19,5,0.29,10
19,6,0.23,10
19,7,0.19,10
19,8,0.08,10
19,9,0.08,10
19,10,0.02,10
19,11,0.0,10
20,0,1,10
20,1,0.75,10
20,2,0.54,10
20,3,0.51,10
20,4,0.41,10
20,5,0.25,10
20,6,0.21,10
20,7,0.26,10
20,8,0.2,10
20,9,0.14,10
20,10,0.1,10
20,11,0.06,10
20,12,0.01,10
20,13,0.0,10
1,0,1,50
1,1,0.6944,50
1,2,0.5464,50
1,3,0.4252,50
1,4,0.334,50
1,5,0.27,50
1,6,0.2108,50
1,7,0.1692,50
1,8,0.1328,50
1,9,0.0992,50
1,10,0.0676,50
1,11,0.0432,50
1,12,0.0372,50
1,13,0.0192,50
1,14,0.012,50
1,15,0.006,50
1,16,0.0028,50
1,17,0.0004,50
1,18,0.0,50
2,0,1,50
2,1,0.7032,50
2,2,0.5528,50
2,3,0.4344,50
2,4,0.3652,50
2,5,0.2856,50
2,6,0.2228,50
2,7,0.1692,50
2,8,0.1252,50
2,9,0.0856,50
2,10,0.0536,50
2,11,0.0344,50
2,12,0.0244,50
2,13,0.0152,50
2,14,0.0104,50
2,15,0.0068,50
2,16,0.0048,50
2,17,0.0016,50
2,18,0.0012,50
2,19,0.0,50
3,0,1,50
3,1,0.7004,50
3,2,0.5488,50
3,3,0.4384,50
3,4,0.3432,50
3,5,0.2712,50
3,6,0.2116,50
3,7,0.1616,50
3,8,0.1228,50
3,9,0.0784,50
3,10,0.0576,50
3,11,0.0372,50
3,12,0.024,50
3,13,0.0168,50
3,14,0.012,50
3,15,0.0076,50
3,16,0.0052,50
3,17,0.002,50
3,18,0.0004,50
3,19,0.0,50
4,0,1,50
4,1,0.6956,50
4,2,0.554,50
4,3,0.4336,50
4,4,0.3652,50
4,5,0.3012,50
4,6,0.2376,50
4,7,0.1824,50
4,8,0.1256,50
4,9,0.1016,50
4,10,0.0656,50
4,11,0.0368,50
4,12,0.0256,50
4,13,0.0164,50
4,14,0.0084,50
4,15,0.0044,50
4,16,0.0008,50
4,17,0.0,50
5,0,1,50
5,1,0.714,50
5,2,0.5568,50
5,3,0.4472,50
5,4,0.3588,50
5,5,0.286,50
5,6,0.2116,50
5,7,0.1648,50
5,8,0.128,50
5,9,0.0996,50
5,10,0.0696,50
5,11,0.0436,50
5,12,0.0304,50
5,13,0.0172,50
5,14,0.0116,50
5,15,0.0108,50
5,16,0.0064,50
5,17,0.004,50
5,18,0.002,50
5,19,0.0012,50
5,20,0.0004,50
5,21,0.0,50
6,0,1,50
6,1,0.7008,50
6,2,0.5436,50
6,3,0.444,50
6,4,0.35,50
6,5,0.2788,50
6,6,0.2192,50
6,7,0.1652,50
6,8,0.1192,50
6,9,0.0844,50
6,10,0.0572,50
6,11,0.0424,50
6,12,0.0264,50
6,13,0.0148,50
6,14,0.0076,50
6,15,0.0016,50
6,16,0.0012,50
6,17,0.0004,50
6,18,0.0,50
7,0,1,50
7,1,0.7024,50
7,2,0.5376,50
7,3,0.4296,50
7,4,0.342,50
7,5,0.2628,50
7,6,0.2096,50
7,7,0.1568,50
7,8,0.1228,50
7,9,0.0884,50
7,10,0.0628,50
7,11,0.0404,50
7,12,0.0324,50
7,13,0.0156,50
7,14,0.0116,50
7,15,0.0048,50
7,16,0.0024,50
7,17,0.0012,50
7,18,0.0004,50
7,19,0.0004,50
7,20,0.0,50
8,0,1,50
8,1,0.69,50
8,2,0.542,50
8,3,0.4216,50
8,4,0.3356,50
8,5,0.2636,50
8,6,0.2112,50
8,7,0.158,50
8,8,0.1232,50
8,9,0.0852,50
8,10,0.0616,50
8,11,0.04,50
8,12,0.0248,50
8,13,0.0148,50
8,14,0.01,50
8,15,0.0084,50
8,16,0.0056,50
8,17,0.0024,50
8,18,0.0004,50
8,19,0.0,50
9,0,1,50
9,1,0.7092,50
9,2,0.5536,50
9,3,0.4428,50
9,4,0.3464,50
9,5,0.2848,50
9,6,0.2116,50
9,7,0.1676,50
9,8,0.1152,50
9,9,0.0812,50
9,10,0.0544,50
9,11,0.0316,50
9,12,0.022,50
9,13,0.0132,50
9,14,0.0084,50
9,15,0.0044,50
9,16,0.0016,50
9,17,0.0004,50
9,18,0.0,50
10,0,1,50
10,1,0.6852,50
10,2,0.5252,50
10,3,0.4352,50
10,4,0.3516,50
10,5,0.2888,50
10,6,0.236,50
10,7,0.1824,50
10,8,0.132,50
10,9,0.0984,50
10,10,0.0692,50
10,11,0.0472,50
10,12,0.0304,50
10,13,0.018,50
10,14,0.008,50
10,15,0.0048,50
10,16,0.0032,50
10,17,0.0028,50
10,18,0.0008,50
10,19,0.0,50
11,0,1,50
11,1,0.7032,50
11,2,0.5432,50
11,3,0.4212,50
11,4,0.3424,50
11,5,0.2772,50
11,6,0.2036,50
11,7,0.1612,50
11,8,0.122,50
11,9,0.08,50
11,10,0.0536,50
11,11,0.0408,50
11,12,0.0308,50
11,13,0.0232,50
11,14,0.0152,50
11,15,0.008,50
11,16,0.0036,50
11,17,0.0016,50
11,18,0.0012,50
11,19,0.0004,50
11,20,0.0004,50
11,21,0.0,50
12,0,1,50
12,1,0.6996,50
12,2,0.5584,50
12,3,0.4588,50
12,4,0.3792,50
12,5,0.294,50
12,6,0.2056,50
12,7,0.1692,50
12,8,0.126,50
12,9,0.0976,50
12,10,0.0652,50
12,11,0.0472,50
12,12,0.0256,50
12,13,0.0148,50
12,14,0.0092,50
12,15,0.0044,50
12,16,0.002,50
12,17,0.0012,50
12,18,0.0,50
13,0,1,50
13,1,0.6916,50
13,2,0.5272,50
13,3,0.4136,50
13,4,0.3224,50
13,5,0.2612,50
13,6,0.2052,50
13,7,0.158,50
13,8,0.1172,50
13,9,0.0868,50
13,10,0.0608,50
13,11,0.046,50
13,12,0.034,50
13,13,0.0204,50
13,14,0.0128,50
13,15,0.0056,50
13,16,0.002,50
13,17,0.0008,50
13,18,0.0,50
14,0,1,50
14,1,0.7068,50
14,2,0.5492,50
14,3,0.4324,50
14,4,0.3388,50
14,5,0.272,50
14,6,0.222,50
14,7,0.1696,50
14,8,0.1276,50
14,9,0.0872,50
14,10,0.06,50
14,11,0.0432,50
14,12,0.024,50
14,13,0.0164,50
14,14,0.0136,50
14,15,0.0072,50
14,16,0.0024,50
14,17,0.0,50
15,0,1,50
15,1,0.7064,50
15,2,0.532,50
15,3,0.432,50
15,4,0.342,50
15,5,0.2892,50
15,6,0.2308,50
15,7,0.1828,50
15,8,0.1372,50
15,9,0.0976,50
15,10,0.062,50
15,11,0.046,50
15,12,0.0292,50
15,13,0.0196,50
15,14,0.016,50
15,15,0.01,50
15,16,0.0048,50
15,17,0.0008,50
15,18,0.0008,50
15,19,0.0,50
16,0,1,50
16,1,0.7012,50
16,2,0.5312,50
16,3,0.4292,50
16,4,0.3432,50
16,5,0.276,50
16,6,0.216,50
16,7,0.1608,50
16,8,0.1284,50
16,9,0.0988,50
16,10,0.068,50
16,11,0.0456,50
16,12,0.026,50
16,13,0.018,50
16,14,0.0108,50
16,15,0.0064,50
16,16,0.0036,50
16,17,0.0024,50
16,18,0.0012,50
16,19,0.0004,50
16,20,0.0004,50
16,21,0.0,50
17,0,1,50
17,1,0.7004,50
17,2,0.5376,50
17,3,0.4268,50
17,4,0.3568,50
17,5,0.2848,50
17,6,0.2164,50
17,7,0.1548,50
17,8,0.1156,50
17,9,0.0912,50
17,10,0.0548,50
17,11,0.0304,50
17,12,0.0156,50
17,13,0.01,50
17,14,0.0072,50
17,15,0.0044,50
17,16,0.0024,50
17,17,0.002,50
17,18,0.0012,50
17,19,0.0008,50
17,20,0.0,50
18,0,1,50
18,1,0.6892,50
18,2,0.5356,50
18,3,0.4308,50
18,4,0.3432,50
18,5,0.2708,50
18,6,0.2216,50
18,7,0.1708,50
18,8,0.122,50
18,9,0.0864,50
18,10,0.06,50
18,11,0.0348,50
18,12,0.0208,50
18,13,0.016,50
18,14,0.0084,50
18,15,0.0036,50
18,16,0.0016,50
18,17,0.0004,50
18,18,0.0,50
19,0,1,50
19,1,0.7064,50
19,2,0.5436,50
19,3,0.4496,50
19,4,0.3512,50
19,5,0.2828,50
19,6,0.222,50
19,7,0.162,50
19,8,0.1208,50
19,9,0.0852,50
19,10,0.0556,50
19,11,0.0376,50
19,12,0.0248,50
19,13,0.0112,50
19,14,0.006,50
19,15,0.0024,50
19,16,0.0012,50
19,17,0.0008,50
19,18,0.0,50
20,0,1,50
20,1,0.6856,50
20,2,0.5296,50
20,3,0.4264,50
20,4,0.3336,50
20,5,0.26,50
20,6,0.2108,50
20,7,0.1648,50
20,8,0.1296,50
20,9,0.09,50
20,10,0.0648,50
20,11,0.0472,50
20,12,0.0288,50
20,13,0.0152,50
20,14,0.0084,50
20,15,0.0032,50
20,16,0.0008,50
20,17,0.0004,50
20,18,0.0,50
1,0,1,100
1,1,0.6885,100
1,2,0.5356,100
1,3,0.4217,100
1,4,0.3369,100
1,5,0.2731,100
1,6,0.2155,100
1,7,0.1648,100
1,8,0.1232,100
1,9,0.0868,100
1,10,0.0589,100
1,11,0.0386,100
1,12,0.0248,100
1,13,0.0163,100
1,14,0.0092,100
1,15,0.0057,100
1,16,0.0025,100
1,17,0.0013,100
1,18,0.0006,100
1,19,0.0003,100
1,20,0.0001,100
1,21,0.0001,100
1,22,0.0,100
2,0,1,100
2,1,0.7032,100
2,2,0.5429,100
2,3,0.4282,100
2,4,0.3458,100
2,5,0.274,100
2,6,0.2141,100
2,7,0.163,100
2,8,0.1181,100
2,9,0.088,100
2,10,0.0613,100
2,11,0.0422,100
2,12,0.0262,100
2,13,0.016,100
2,14,0.0092,100
2,15,0.006,100
2,16,0.0026,100
2,17,0.0013,100
2,18,0.0007,100
2,19,0.0003,100
2,20,0.0004,100
2,21,0.0001,100
2,22,0.0,100
3,0,1,100
3,1,0.6977,100
3,2,0.5414,100
3,3,0.4329,100
3,4,0.3451,100
3,5,0.2803,100
3,6,0.2166,100
3,7,0.1705,100
3,8,0.1257,100
3,9,0.0899,100
3,10,0.0579,100
3,11,0.0408,100
3,12,0.0259,100
3,13,0.0174,100
3,14,0.0109,100
3,15,0.0047,100
3,16,0.0023,100
3,17,0.0016,100
3,18,0.0011,100
3,19,0.0003,100
3,20,0.0,100
4,0,1,100
4,1,0.6996,100
4,2,0.5495,100
4,3,0.441,100
4,4,0.3566,100
4,5,0.2793,100
4,6,0.2129,100
4,7,0.1628,100
4,8,0.122,100
4,9,0.0865,100
4,10,0.0631,100
4,11,0.0441,100
4,12,0.0275,100
4,13,0.0155,100
4,14,0.0085,100
4,15,0.0052,100
4,16,0.0031,100
4,17,0.0018,100
4,18,0.0007,100
4,19,0.0004,100
4,20,0.0001,100
4,21,0.0001,100
4,22,0.0,100
5,0,1,100
5,1,0.6939,100
5,2,0.5397,100
5,3,0.4286,100
5,4,0.3448,100
5,5,0.2668,100
5,6,0.2084,100
5,7,0.1628,100
5,8,0.1252,100
5,9,0.09,100
5,10,0.0638,100
5,11,0.0414,100
5,12,0.0255,100
5,13,0.016,100
5,14,0.0083,100
5,15,0.0038,100
5,16,0.0017,100
5,17,0.001,100
5,18,0.0004,100
5,19,0.0002,100
5,20,0.0001,100
5,21,0.0001,100
5,22,0.0,100
6,0,1,100
6,1,0.6974,100
6,2,0.535,100
6,3,0.4323,100
6,4,0.344,100
6,5,0.277,100
6,6,0.2167,100
6,7,0.1693,100
6,8,0.1209,100
6,9,0.0894,100
6,10,0.0607,100
6,11,0.0417,100
6,12,0.0271,100
6,13,0.0162,100
6,14,0.01,100
6,15,0.005,100
6,16,0.0025,100
6,17,0.0013,100
6,18,0.0004,100
6,19,0.0003,100
6,20,0.0002,100
6,21,0.0,100
7,0,1,100
7,1,0.698,100
7,2,0.5548,100
7,3,0.4408,100
7,4,0.3534,100
7,5,0.284,100
7,6,0.2228,100
7,7,0.1702,100
7,8,0.129,100
7,9,0.0905,100
7,10,0.0601,100
7,11,0.0397,100
7,12,0.0272,100
7,13,0.0158,100
7,14,0.0074,100
7,15,0.0043,100
7,16,0.0029,100
7,17,0.0011,100
7,18,0.0001,100
7,19,0.0,100
8,0,1,100
8,1,0.6977,100
8,2,0.5425,100
8,3,0.4322,100
8,4,0.3493,100
8,5,0.2902,100
8,6,0.2241,100
8,7,0.1657,100
8,8,0.1274,100
8,9,0.0938,100
8,10,0.0635,100
8,11,0.0405,100
8,12,0.026,100
8,13,0.0168,100
8,14,0.0103,100
8,15,0.0052,100
8,16,0.0024,100
8,17,0.0015,100
8,18,0.0008,100
8,19,0.0005,100
8,20,0.0002,100
8,21,0.0002,100
8,22,0.0001,100
8,23,0.0,100
9,0,1,100
9,1,0.6944,100
9,2,0.5448,100
9,3,0.4265,100
9,4,0.3374,100
9,5,0.2664,100
9,6,0.2112,100
9,7,0.1621,100
9,8,0.1201,100
9,9,0.0852,100
9,10,0.0584,100
9,11,0.04,100
9,12,0.0281,100
9,13,0.0168,100
9,14,0.0092,100
9,15,0.0047,100
9,16,0.0024,100
9,17,0.0008,100
9,18,0.0,100
10,0,1,100
10,1,0.6997,100
10,2,0.552,100
10,3,0.4361,100
10,4,0.3422,100
10,5,0.2772,100
10,6,0.2234,100
10,7,0.1724,100
10,8,0.1309,100
10,9,0.0919,100
10,10,0.0632,100
10,11,0.0443,100
10,12,0.026,100
10,13,0.0161,100
10,14,0.0085,100
10,15,0.0055,100
10,16,0.0026,100
10,17,0.001,100
10,18,0.0005,100
10,19,0.0002,100
10,20,0.0001,100
10,21,0.0,100
11,0,1,100
11,1,0.6966,100
11,2,0.5439,100
11,3,0.442,100
11,4,0.3504,100
11,5,0.2773,100
11,6,0.2123,100
11,7,0.1641,100
11,8,0.1154,100
11,9,0.0811,100
11,10,0.0577,100
11,11,0.0413,100
11,12,0.0239,100
11,13,0.0139,100
11,14,0.0088,100
11,15,0.0041,100
11,16,0.0017,100
11,17,0.0008,100
11,18,0.0004,100
11,19,0.0003,100
11,20,0.0,100
12,0,1,100
12,1,0.6942,100
12,2,0.5382,100
12,3,0.4308,100
12,4,0.349,100
12,5,0.275,100
12,6,0.2146,100
12,7,0.17,100
12,8,0.1268,100
12,9,0.0886,100
12,10,0.0631,100
12,11,0.0416,100
12,12,0.0293,100
12,13,0.0199,100
12,14,0.0107,100
12,15,0.0065,100
12,16,0.0035,100
12,17,0.0019,100
12,18,0.001,100
12,19,0.0003,100
12,20,0.0001,100
12,21,0.0,100
13,0,1,100
13,1,0.6997,100
13,2,0.5416,100
13,3,0.4274,100
13,4,0.3434,100
13,5,0.2711,100
13,6,0.2091,100
13,7,0.1542,100
13,8,0.118,100
13,9,0.0832,100
13,10,0.0602,100
13,11,0.0388,100
13,12,0.0266,100
13,13,0.0166,100
13,14,0.0107,100
13,15,0.0057,100
13,16,0.0031,100
13,17,0.0011,100
13,18,0.0011,100
13,19,0.0006,100
13,20,0.0003,100
13,21,0.0002,100
13,22,0.0,100
14,0,1,100
14,1,0.7023,100
14,2,0.5365,100
14,3,0.4249,100
14,4,0.3428,100
14,5,0.2793,100
14,6,0.2131,100
14,7,0.1627,100
14,8,0.1164,100
14,9,0.0848,100
14,10,0.0592,100
14,11,0.0434,100
14,12,0.0291,100
14,13,0.0184,100
14,14,0.0111,100
14,15,0.0061,100
14,16,0.004,100
14,17,0.0022,100
14,18,0.0011,100
14,19,0.0003,100
14,20,0.0001,100
14,21,0.0001,100
14,22,0.0,100
15,0,1,100
15,1,0.7002,100
15,2,0.5426,100
15,3,0.4298,100
15,4,0.3439,100
15,5,0.2691,100
15,6,0.2109,100
15,7,0.1688,100
15,8,0.1221,100
15,9,0.0877,100
15,10,0.062,100
15,11,0.0422,100
15,12,0.0279,100
15,13,0.0176,100
15,14,0.0101,100
15,15,0.0047,100
15,16,0.0021,100
15,17,0.0009,100
15,18,0.0005,100
15,19,0.0005,100
15,20,0.0001,100
15,21,0.0,100
16,0,1,100
16,1,0.7016,100
16,2,0.5476,100
16,3,0.4362,100
16,4,0.349,100
16,5,0.2848,100
16,6,0.2235,100
16,7,0.1707,100
16,8,0.1285,100
16,9,0.0901,100
16,10,0.0609,100
16,11,0.0438,100
16,12,0.0275,100
16,13,0.0149,100
16,14,0.008,100
16,15,0.0041,100
16,16,0.0016,100
16,17,0.0007,100
16,18,0.0005,100
16,19,0.0001,100
16,20,0.0001,100
16,21,0.0002,100
16,22,0.0,100
17,0,1,100
17,1,0.7054,100
17,2,0.5441,100
17,3,0.4354,100
17,4,0.3468,100
17,5,0.2759,100
17,6,0.2144,100
17,7,0.1585,100
17,8,0.1172,100
17,9,0.0846,100
17,10,0.0609,100
17,11,0.0447,100
17,12,0.0299,100
17,13,0.0177,100
17,14,0.0107,100
17,15,0.0069,100
17,16,0.0039,100
17,17,0.0023,100
17,18,0.001,100
17,19,0.0008,100
17,20,0.0004,100
17,21,0.0003,100
17,22,0.0001,100
17,23,0.0001,100
17,24,0.0001,100
17,25,0.0,100
18,0,1,100
18,1,0.7027,100
18,2,0.5423,100
18,3,0.4327,100
18,4,0.3474,100
18,5,0.2744,100
18,6,0.2239,100
18,7,0.1726,100
18,8,0.1286,100
18,9,0.0946,100
18,10,0.0684,100
18,11,0.0459,100
18,12,0.0308,100
18,13,0.0183,100
18,14,0.0114,100
18,15,0.0067,100
18,16,0.0037,100
18,17,0.002,100
18,18,0.0007,100
18,19,0.0005,100
18,20,0.0004,100
18,21,0.0,100
19,0,1,100
19,1,0.7061,100
19,2,0.5509,100
19,3,0.4289,100
19,4,0.3377,100
19,5,0.2653,100
19,6,0.2104,100
19,7,0.1591,100
19,8,0.1185,100
19,9,0.0831,100
19,10,0.0613,100
19,11,0.0405,100
19,12,0.0258,100
19,13,0.0172,100
19,14,0.0111,100
19,15,0.0071,100
19,16,0.004,100
19,17,0.002,100
19,18,0.0008,100
19,19,0.0006,100
19,20,0.0,100
20,0,1,100
20,1,0.697,100
20,2,0.5469,100
20,3,0.4334,100
20,4,0.3548,100
20,5,0.2802,100
20,6,0.2095,100
20,7,0.1594,100
20,8,0.1164,100
20,9,0.0839,100
20,10,0.0583,100
20,11,0.0388,100
20,12,0.0263,100
20,13,0.0174,100
20,14,0.0091,100
20,15,0.0056,100
20,16,0.003,100
20,17,0.0018,100
20,18,0.0007,100
20,19,0.0004,100
20,20,0.0002,100
20,21,0.0001,100
20,22,0.0001,100
20,23,0.0001,100
20,24,0.0,100
